Model,Tasks,Pairwise Rel. log WIS,Mean log WIS,Median log WIS,Pairwise Rel. WIS,Mean WIS,Median WIS,50% coverage,95% coverage
Google_SAI-Ensemble,4056,0.9663766437706625,0.22251606103106192,0.1412142774151132,0.8557343250380112,14.782956479645769,7.309376548913043,0.4109960552268245,0.9109960552268245
CovidHub-ensemble,4056,1.0,0.2296135380806897,0.15358412991346865,1.0,17.041064153078253,7.779118953692723,0.47411242603550297,0.9213510848126233
UGA_flucast-INFLAenza,4056,1.0224874041995566,0.23436064509034893,0.1437011813228751,0.983106731558261,16.76454555784238,7.235217391304342,0.44403353057199213,0.8730276134122288
CMU-TimeSeries,4056,1.0547968655381728,0.242132445138742,0.15539011524378338,1.075528611795834,18.308401555260986,8.722174516664436,0.4460059171597633,0.9312130177514792
NEU_ISI-AdaptiveEnsemble,3515,1.1387832005712961,0.2485411645605684,0.1580388271940351,1.1479536889314523,20.370117261426184,8.965217391304348,0.37724039829302985,0.7886201991465149
CEPH-Rtrend_covid,4056,1.1770389218838238,0.26707635223913034,0.18667010508668855,1.1921673024732387,20.036371666237887,8.892608695652173,0.47066074950690334,0.8710552268244576
UMass-gbqr,4004,1.2109602749337165,0.27384757776912505,0.17279627034820738,1.2324388160523625,20.41774069746608,8.399024166178926,0.38186813186813184,0.846903096903097
CFA-EpiAutoGP,3549,1.2433066651303588,0.2844985450902367,0.18227587200787013,1.304427012287418,21.52888431672054,9.663535779,0.4229360383206537,0.8918005071851226
UMass-ar6_pooled,4004,1.271412569876906,0.2868265457470475,0.20599024188251047,1.3217858455659353,21.748691624332974,10.027480094117063,0.534965034965035,0.9358141858141859
OHT_JHU-nbxd,4056,1.4129915873790309,0.3162282969162918,0.20294784356178439,1.5510457247172578,25.57044824414716,10.391045652173911,0.2724358974358974,0.6935404339250493
CovidHub-baseline,4056,1.444979097414082,0.32309416207060454,0.2631677315985885,1.2811401492110543,21.365461148211985,10.087242861287304,0.6094674556213018,0.9541420118343196
UM-DeepOutbreak,3796,1.6459116132350258,0.369457824410485,0.3294173712393197,1.4848503960038955,25.001782386911508,11.96887933920798,0.6261854583772392,0.9091148577449948
