Model,Tasks,Pairwise Rel. log WIS,Mean log WIS,Median log WIS,Pairwise Rel. WIS,Mean WIS,Median WIS,50% coverage,95% coverage
Google_SAI-FluEns,4680,0.8918537050864254,0.30020531984515,0.21187346722420297,0.9115927070421456,71.36960947254515,20.709679456521737,0.48696581196581196,0.9307692307692308
OHT_JHU-nbxd,4680,0.9063991419887992,0.3027745076402013,0.19948856908723772,1.0116399271494763,79.25428403753251,19.938304347826087,0.41346153846153844,0.8301282051282052
CMU-TimeSeries,4524,0.9184575767670067,0.3089851544702813,0.21153515774629253,0.8654108513234203,70.0848856269938,21.39293233171155,0.48828470380194516,0.9403183023872679
FluSight-trained_mean,4680,0.9305111962163708,0.31235118029105724,0.2220663652691743,0.9511515040984312,74.39040758684469,21.247768212669612,0.4512820512820513,0.8948717948717949
UGA_flucast-INFLAenza,4264,0.9426153985195279,0.3191415579177966,0.1927318641399178,0.9125916774582183,63.296627177481845,19.032395652173918,0.47396810506566606,0.8796904315196998
FluSight-HJudge_ensemble,4680,0.9427412055030506,0.31635576626943424,0.220394306568312,0.9398620553981467,73.48014845782237,20.406304347826087,0.4527777777777778,0.8886752136752136
UMass-flusion,4472,0.9469801982918857,0.3199857434235371,0.21979056504389466,0.9215855404682785,71.03234086461835,17.801824628057965,0.32491055456171736,0.7947227191413238
NAU-vulPES,4680,0.9750291607001272,0.32709753499678007,0.22543271036321486,0.9258112098297895,72.30772082868822,22.36413043478261,0.4232905982905983,0.9224358974358975
FluSight-trained_med,4680,0.9804437269513493,0.3291808159923266,0.2342007765553401,0.9525569084268977,74.4915892049473,21.963953960869627,0.46816239316239316,0.9014957264957265
FluSight-ensemble,4680,1.0,0.33612741224929754,0.23506907326993964,1.0,78.20000501672241,21.218695652173913,0.46923076923076923,0.882051282051282
UVAFluX-FS_OptimWISE,3848,1.007796600681237,0.29962422353916546,0.2099719424154432,1.0540508585680641,73.88149190997017,18.997826086956522,0.4126819126819127,0.8510914760914761
FluSight-lop_norm,4680,1.0097576989723855,0.3388276144363116,0.25910625152961575,0.9624566037928852,75.2251366592345,22.764347826086954,0.5348290598290598,0.9709401709401709
UGA_flucast-Scenariocast,4420,1.035774032312912,0.34244431225142397,0.24713028903637924,0.9717153463075452,78.32708528428094,23.55934782608696,0.43981900452488687,0.8995475113122172
MIGHTE-Joint,3848,1.0433084012336762,0.3098066457963189,0.23122204540930308,1.0646188169567337,74.69626261571605,26.101825626109182,0.5854989604989606,0.9617983367983368
MIGHTE-Nsemble,4680,1.046803579136061,0.3518935247170506,0.2500224544328631,1.1099891157356037,86.61760700072351,27.25407184134858,0.5228632478632479,0.9220085470085471
NEU_ISI-AdaptiveEnsemble,4294,1.052929243226584,0.3527977936056394,0.24682911514259567,1.0386632877778892,82.55539377493368,19.149565217391306,0.34024219841639497,0.739869585468095
CU-ARNB_Net,4056,1.1617122587818123,0.36168226653104846,0.27052401986678354,0.9968020225717762,76.86619522339423,23.219782608695652,0.5239151873767258,0.9368836291913215
CU-ensemble,4680,1.165951808092351,0.3875667371169111,0.2818708202322812,1.1438691908782062,88.80699451876626,21.90891304347826,0.49935897435897436,0.8600427350427351
NAU-FourCAT,4472,1.1719027218470477,0.3825487136497099,0.2645797077601326,0.9530758869325737,71.85991541572685,23.965000000000003,0.4127906976744186,0.9521466905187835
UGA_flucast-Copycat,4680,1.1923192679720827,0.3989981242668602,0.2569881522000594,1.210249404448847,93.73060293571163,25.001739130434785,0.3318376068376068,0.798931623931624
PSI-PROF_MOA,4680,1.1935296899463774,0.396872665293631,0.2852812943746816,1.372126670386967,106.0524838275734,23.894786956521735,0.42136752136752137,0.7512820512820513
Cornell_JHU-hierarchSIR,4680,1.1946492855664903,0.4006022598394623,0.28275005783399393,0.919899398034663,71.9918126956749,22.033423913043478,0.37884615384615383,0.8262820512820512
PSI-PROF,4680,1.2036496235229381,0.40102715411758694,0.31753960137206305,1.2505651520048093,96.65056919918247,30.369808695652175,0.5282051282051282,0.9615384615384616
